phase,lr,weight_decay,seed,metric_value,experiment_dir,metric_key_used
grid,0.001,0.001,42,0.9618231625575566,code/experiments/results/experiment_grid_lr0.001_wd0.001_s42_20251129_095432,best_val_metrics.f1_macro
grid,0.001,0.001,43,0.9606022238819485,code/experiments/results/experiment_grid_lr0.001_wd0.001_s43_20251130_003306,best_val_metrics.f1_macro
grid,0.001,0.001,44,0.9624365701868012,code/experiments/results/experiment_grid_lr0.001_wd0.001_s44_20251129_142927,best_val_metrics.f1_macro
grid,0.001,0.001,45,0.9621302547651908,code/experiments/results/experiment_grid_lr0.001_wd0.001_s45_20251127_230911,best_val_metrics.f1_macro
grid,0.001,0.001,46,0.962438699762198,code/experiments/results/experiment_grid_lr0.001_wd0.001_s46_20251128_082239,best_val_metrics.f1_macro
grid,0.001,0.01,42,0.9599899131962271,code/experiments/results/experiment_grid_lr0.001_wd0.01_s42_20251129_160803,best_val_metrics.f1_macro
grid,0.001,0.01,43,0.9606022238819485,code/experiments/results/experiment_grid_lr0.001_wd0.01_s43_20251129_172634,best_val_metrics.f1_macro
grid,0.001,0.01,44,0.9621320345270803,code/experiments/results/experiment_grid_lr0.001_wd0.01_s44_20251130_013558,best_val_metrics.f1_macro
grid,0.001,0.01,45,0.9615173853942693,code/experiments/results/experiment_grid_lr0.001_wd0.01_s45_20251129_182252,best_val_metrics.f1_macro
grid,0.001,0.01,46,0.962438699762198,code/experiments/results/experiment_grid_lr0.001_wd0.01_s46_20251127_201123,best_val_metrics.f1_macro
grid,0.001,0.1,42,0.9596787732945324,code/experiments/results/experiment_grid_lr0.001_wd0.1_s42_20251127_182959,best_val_metrics.f1_macro
grid,0.001,0.1,43,0.9602957150893255,code/experiments/results/experiment_grid_lr0.001_wd0.1_s43_20251129_022328,best_val_metrics.f1_macro
grid,0.001,0.1,44,0.9578553300628436,code/experiments/results/experiment_grid_lr0.001_wd0.1_s44_20251127_222534,best_val_metrics.f1_macro
grid,0.001,0.1,45,0.9599934202802516,code/experiments/results/experiment_grid_lr0.001_wd0.1_s45_20251129_060924,best_val_metrics.f1_macro
grid,0.001,0.1,46,0.9609104872537604,code/experiments/results/experiment_grid_lr0.001_wd0.1_s46_20251129_193401,best_val_metrics.f1_macro
grid,0.005,0.001,42,0.9642737299400734,code/experiments/results/experiment_grid_lr0.005_wd0.001_s42_20251129_230209,best_val_metrics.f1_macro
grid,0.005,0.001,43,0.9624382094208412,code/experiments/results/experiment_grid_lr0.005_wd0.001_s43_20251129_115319,best_val_metrics.f1_macro
grid,0.005,0.001,44,0.9633512306153189,code/experiments/results/experiment_grid_lr0.005_wd0.001_s44_20251129_234725,best_val_metrics.f1_macro
grid,0.005,0.001,45,0.9630355691524257,code/experiments/results/experiment_grid_lr0.005_wd0.001_s45_20251127_164316,best_val_metrics.f1_macro
grid,0.005,0.001,46,0.9639613981765185,code/experiments/results/experiment_grid_lr0.005_wd0.001_s46_20251129_110829,best_val_metrics.f1_macro
grid,0.005,0.01,42,0.9612166877759905,code/experiments/results/experiment_grid_lr0.005_wd0.01_s42_20251129_075632,best_val_metrics.f1_macro
grid,0.005,0.01,43,0.9611993647862348,code/experiments/results/experiment_grid_lr0.005_wd0.01_s43_20251127_172837,best_val_metrics.f1_macro
grid,0.005,0.01,44,0.9633512306153189,code/experiments/results/experiment_grid_lr0.005_wd0.01_s44_20251129_082231,best_val_metrics.f1_macro
grid,0.005,0.01,45,0.9630355691524257,code/experiments/results/experiment_grid_lr0.005_wd0.01_s45_20251127_192402,best_val_metrics.f1_macro
grid,0.005,0.01,46,0.963655650754794,code/experiments/results/experiment_grid_lr0.005_wd0.01_s46_20251128_145607,best_val_metrics.f1_macro
grid,0.005,0.1,42,0.9624403808353774,code/experiments/results/experiment_grid_lr0.005_wd0.1_s42_20251129_071134,best_val_metrics.f1_macro
grid,0.005,0.1,43,0.9608976525905678,code/experiments/results/experiment_grid_lr0.005_wd0.1_s43_20251129_034558,best_val_metrics.f1_macro
grid,0.005,0.1,44,0.9590825922793136,code/experiments/results/experiment_grid_lr0.005_wd0.1_s44_20251129_154316,best_val_metrics.f1_macro
