phase,lr,weight_decay,seed,metric_value,experiment_dir,metric_key_used
grid,0.001,0.001,10,0.9559980383858333,code/experiments/results/experiment_grid_lr0.001_wd0.001_s10_20251207_194745,best_val_metrics.f1_macro
grid,0.001,0.001,20,0.9562934819543152,code/experiments/results/experiment_grid_lr0.001_wd0.001_s20_20251207_135555,best_val_metrics.f1_macro
grid,0.001,0.001,30,0.9553838694795995,code/experiments/results/experiment_grid_lr0.001_wd0.001_s30_20251207_151640,best_val_metrics.f1_macro
grid,0.001,0.001,40,0.9556902243047389,code/experiments/results/experiment_grid_lr0.001_wd0.001_s40_20251207_203758,best_val_metrics.f1_macro
grid,0.001,0.001,50,0.9556886862286829,code/experiments/results/experiment_grid_lr0.001_wd0.001_s50_20251207_204052,best_val_metrics.f1_macro
grid,0.001,0.001,60,0.9556987562067221,code/experiments/results/experiment_grid_lr0.001_wd0.001_s60_20251207_185831,best_val_metrics.f1_macro
grid,0.001,0.001,70,0.954469432075036,code/experiments/results/experiment_grid_lr0.001_wd0.001_s70_20251207_210633,best_val_metrics.f1_macro
grid,0.001,0.001,80,0.9550835310572297,code/experiments/results/experiment_grid_lr0.001_wd0.001_s80_20251207_143049,best_val_metrics.f1_macro
grid,0.001,0.001,90,0.9560022748950996,code/experiments/results/experiment_grid_lr0.001_wd0.001_s90_20251207_170205,best_val_metrics.f1_macro
grid,0.001,0.001,100,0.9556886862286829,code/experiments/results/experiment_grid_lr0.001_wd0.001_s100_20251207_133806,best_val_metrics.f1_macro
grid,0.001,0.001,110,0.9559903186166552,code/experiments/results/experiment_grid_lr0.001_wd0.001_s110_20251207_184435,best_val_metrics.f1_macro
grid,0.001,0.001,120,0.9562998767634596,code/experiments/results/experiment_grid_lr0.001_wd0.001_s120_20251207_203509,best_val_metrics.f1_macro
grid,0.001,0.001,130,0.9556917292005385,code/experiments/results/experiment_grid_lr0.001_wd0.001_s130_20251207_191245,best_val_metrics.f1_macro
grid,0.001,0.001,140,0.9566119943275115,code/experiments/results/experiment_grid_lr0.001_wd0.001_s140_20251207_192057,best_val_metrics.f1_macro
grid,0.001,0.001,150,0.9556974171139374,code/experiments/results/experiment_grid_lr0.001_wd0.001_s150_20251207_152752,best_val_metrics.f1_macro
grid,0.001,0.01,10,0.9559980383858333,code/experiments/results/experiment_grid_lr0.001_wd0.01_s10_20251207_185013,best_val_metrics.f1_macro
grid,0.001,0.01,20,0.9562934819543152,code/experiments/results/experiment_grid_lr0.001_wd0.01_s20_20251207_134305,best_val_metrics.f1_macro
grid,0.001,0.01,30,0.9556886862286829,code/experiments/results/experiment_grid_lr0.001_wd0.01_s30_20251207_161540,best_val_metrics.f1_macro
grid,0.001,0.01,40,0.9562934819543152,code/experiments/results/experiment_grid_lr0.001_wd0.01_s40_20251207_141910,best_val_metrics.f1_macro
grid,0.001,0.01,50,0.9556886862286829,code/experiments/results/experiment_grid_lr0.001_wd0.01_s50_20251207_192835,best_val_metrics.f1_macro
grid,0.001,0.01,60,0.9556987562067221,code/experiments/results/experiment_grid_lr0.001_wd0.01_s60_20251207_194216,best_val_metrics.f1_macro
grid,0.001,0.01,70,0.9544561057098077,code/experiments/results/experiment_grid_lr0.001_wd0.01_s70_20251207_142457,best_val_metrics.f1_macro
grid,0.001,0.01,80,0.9547772469186576,code/experiments/results/experiment_grid_lr0.001_wd0.01_s80_20251207_204927,best_val_metrics.f1_macro
grid,0.001,0.01,90,0.9560022748950996,code/experiments/results/experiment_grid_lr0.001_wd0.01_s90_20251207_133055,best_val_metrics.f1_macro
grid,0.001,0.01,100,0.9556886862286829,code/experiments/results/experiment_grid_lr0.001_wd0.01_s100_20251207_183008,best_val_metrics.f1_macro
grid,0.001,0.01,110,0.955986999926085,code/experiments/results/experiment_grid_lr0.001_wd0.01_s110_20251207_201641,best_val_metrics.f1_macro
grid,0.001,0.01,120,0.9562998767634596,code/experiments/results/experiment_grid_lr0.001_wd0.01_s120_20251207_205218,best_val_metrics.f1_macro
grid,0.001,0.01,130,0.9550790549848043,code/experiments/results/experiment_grid_lr0.001_wd0.01_s130_20251207_203227,best_val_metrics.f1_macro
grid,0.001,0.01,140,0.9566119943275115,code/experiments/results/experiment_grid_lr0.001_wd0.01_s140_20251207_210923,best_val_metrics.f1_macro
grid,0.001,0.01,150,0.9556974171139374,code/experiments/results/experiment_grid_lr0.001_wd0.01_s150_20251207_203000,best_val_metrics.f1_macro
grid,0.001,0.1,10,0.9556917292005385,code/experiments/results/experiment_grid_lr0.001_wd0.1_s10_20251207_144557,best_val_metrics.f1_macro
grid,0.001,0.1,20,0.955993505402833,code/experiments/results/experiment_grid_lr0.001_wd0.1_s20_20251207_141623,best_val_metrics.f1_macro
grid,0.001,0.1,30,0.9556871149654702,code/experiments/results/experiment_grid_lr0.001_wd0.1_s30_20251207_145437,best_val_metrics.f1_macro
grid,0.001,0.1,40,0.9562918013750875,code/experiments/results/experiment_grid_lr0.001_wd0.1_s40_20251207_190131,best_val_metrics.f1_macro
grid,0.001,0.1,50,0.9547772469186576,code/experiments/results/experiment_grid_lr0.001_wd0.1_s50_20251207_155319,best_val_metrics.f1_macro
grid,0.001,0.1,60,0.9550805806377872,code/experiments/results/experiment_grid_lr0.001_wd0.1_s60_20251207_205508,best_val_metrics.f1_macro
grid,0.001,0.1,70,0.9544542863279043,code/experiments/results/experiment_grid_lr0.001_wd0.1_s70_20251207_143348,best_val_metrics.f1_macro
grid,0.001,0.1,80,0.954469432075036,code/experiments/results/experiment_grid_lr0.001_wd0.1_s80_20251207_183848,best_val_metrics.f1_macro
grid,0.001,0.1,90,0.9556960448731542,code/experiments/results/experiment_grid_lr0.001_wd0.1_s90_20251207_160140,best_val_metrics.f1_macro
grid,0.001,0.1,100,0.9556855105080515,code/experiments/results/experiment_grid_lr0.001_wd0.1_s100_20251207_144257,best_val_metrics.f1_macro
grid,0.001,0.1,110,0.9556855105080515,code/experiments/results/experiment_grid_lr0.001_wd0.1_s110_20251207_155850,best_val_metrics.f1_macro
grid,0.001,0.1,120,0.954469432075036,code/experiments/results/experiment_grid_lr0.001_wd0.1_s120_20251207_160714,best_val_metrics.f1_macro
grid,0.001,0.1,130,0.9553774073709076,code/experiments/results/experiment_grid_lr0.001_wd0.1_s130_20251207_161827,best_val_metrics.f1_macro
grid,0.001,0.1,140,0.9566133544104454,code/experiments/results/experiment_grid_lr0.001_wd0.1_s140_20251207_193401,best_val_metrics.f1_macro
grid,0.001,0.1,150,0.9559919284941625,code/experiments/results/experiment_grid_lr0.001_wd0.1_s150_20251207_190708,best_val_metrics.f1_macro
grid,0.005,0.001,10,0.9642555599430551,code/experiments/results/experiment_grid_lr0.005_wd0.001_s10_20251207_190955,best_val_metrics.f1_macro
grid,0.005,0.001,20,0.964241469816273,code/experiments/results/experiment_grid_lr0.005_wd0.001_s20_20251207_183552,best_val_metrics.f1_macro
grid,0.005,0.001,30,0.9636378683435654,code/experiments/results/experiment_grid_lr0.005_wd0.001_s30_20251207_162716,best_val_metrics.f1_macro
grid,0.005,0.001,40,0.9648514015716522,code/experiments/results/experiment_grid_lr0.005_wd0.001_s40_20251207_191527,best_val_metrics.f1_macro
grid,0.005,0.001,50,0.9639440211919027,code/experiments/results/experiment_grid_lr0.005_wd0.001_s50_20251207_145156,best_val_metrics.f1_macro
grid,0.005,0.001,60,0.9666986674149574,code/experiments/results/experiment_grid_lr0.005_wd0.001_s60_20251207_142203,best_val_metrics.f1_macro
grid,0.005,0.001,70,0.9648514015716522,code/experiments/results/experiment_grid_lr0.005_wd0.001_s70_20251207_143957,best_val_metrics.f1_macro
grid,0.005,0.001,80,0.964556277056277,code/experiments/results/experiment_grid_lr0.005_wd0.001_s80_20251207_154501,best_val_metrics.f1_macro
grid,0.005,0.001,90,0.9630086134785402,code/experiments/results/experiment_grid_lr0.005_wd0.001_s90_20251207_200344,best_val_metrics.f1_macro
grid,0.005,0.001,100,0.9630203225618912,code/experiments/results/experiment_grid_lr0.005_wd0.001_s100_20251207_204342,best_val_metrics.f1_macro
grid,0.005,0.001,110,0.9645539753663658,code/experiments/results/experiment_grid_lr0.005_wd0.001_s110_20251207_150532,best_val_metrics.f1_macro
grid,0.005,0.001,120,0.9642329783560863,code/experiments/results/experiment_grid_lr0.005_wd0.001_s120_20251207_151353,best_val_metrics.f1_macro
grid,0.005,0.001,130,0.9645408738532487,code/experiments/results/experiment_grid_lr0.005_wd0.001_s130_20251207_205800,best_val_metrics.f1_macro
grid,0.005,0.001,140,0.9645584726427606,code/experiments/results/experiment_grid_lr0.005_wd0.001_s140_20251207_185545,best_val_metrics.f1_macro
grid,0.005,0.001,150,0.9657483847207167,code/experiments/results/experiment_grid_lr0.005_wd0.001_s150_20251207_153636,best_val_metrics.f1_macro
grid,0.005,0.01,10,0.9642555599430551,code/experiments/results/experiment_grid_lr0.005_wd0.01_s10_20251207_151929,best_val_metrics.f1_macro
grid,0.005,0.01,20,0.964241469816273,code/experiments/results/experiment_grid_lr0.005_wd0.01_s20_20251207_150251,best_val_metrics.f1_macro
grid,0.005,0.01,30,0.9636031894523449,code/experiments/results/experiment_grid_lr0.005_wd0.01_s30_20251207_210045,best_val_metrics.f1_macro
grid,0.005,0.01,40,0.9645551394767857,code/experiments/results/experiment_grid_lr0.005_wd0.01_s40_20251207_133323,best_val_metrics.f1_macro
grid,0.005,0.01,50,0.9636378683435654,code/experiments/results/experiment_grid_lr0.005_wd0.01_s50_20251207_202720,best_val_metrics.f1_macro
grid,0.005,0.01,60,0.9663926583841012,code/experiments/results/experiment_grid_lr0.005_wd0.01_s60_20251207_155024,best_val_metrics.f1_macro
grid,0.005,0.01,70,0.9642401215989853,code/experiments/results/experiment_grid_lr0.005_wd0.01_s70_20251207_140731,best_val_metrics.f1_macro
grid,0.005,0.01,80,0.9642512913804072,code/experiments/results/experiment_grid_lr0.005_wd0.01_s80_20251207_153043,best_val_metrics.f1_macro
grid,0.005,0.01,90,0.9630086134785402,code/experiments/results/experiment_grid_lr0.005_wd0.01_s90_20251207_185259,best_val_metrics.f1_macro
grid,0.005,0.01,100,0.9630203225618912,code/experiments/results/experiment_grid_lr0.005_wd0.01_s100_20251207_200610,best_val_metrics.f1_macro
